"country","stateProvince","municipality","country.new","stateProvince.new","municipality.new","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer"
"Brazil","Amazonas","São Paulo de Olivença","brazil","amazonas","sao paulo de olivenca","municipality","brazil_NA_sao paulo olivenca","brazil_amazonas_sao paulo olivenca",-4.497851747,-69.45122456,"county"
"Brazil","Amazonas","São Sebastião do Uatumã","brazil","amazonas","sao sebastiao do uatuma","municipality","brazil_NA_sao sebastiao uatuma","brazil_amazonas_sao sebastiao uatuma",-2.535505,-57.872599,"county"
"Brazil","Amazonas","Silves","brazil","amazonas","silves","municipality","brazil_NA_silves","brazil_amazonas_silves",-2.822149137,-58.5361563,"county"
"Brazil","Amazonas","Tabatinga","brazil","amazonas","tabatinga","municipality","brazil_NA_tabatinga","brazil_amazonas_tabatinga",-4.225059,-69.885677,"county"
"Brazil","Amazonas","Tapauá","brazil","amazonas","tapaua","municipality","brazil_NA_tapaua","brazil_amazonas_tapaua",-6.104516926,-64.89416304,"county"
"Brazil","Amazonas","Tefé","brazil","amazonas","tefe","municipality","brazil_NA_tefe","brazil_amazonas_tefe",-4.468380629,-65.52935009,"county"
"Brazil","Amazonas","Tonantins","brazil","amazonas","tonantins","municipality","brazil_NA_tonantins","brazil_amazonas_tonantins",-2.855718,-67.78792,"county"
"Brazil","Amazonas","Uarini","brazil","amazonas","uarini","municipality","brazil_NA_uarini","brazil_amazonas_uarini",-3.167091731,-65.41207894,"county"
"Brazil","Amazonas","Urucará","brazil","amazonas","urucara","municipality","brazil_NA_urucara","brazil_amazonas_urucara",-0.893905373,-59.0299145,"county"
"Brazil","Amazonas","Urucurituba","brazil","amazonas","urucurituba","municipality","brazil_NA_urucurituba","brazil_amazonas_urucurituba",-2.812290573,-57.77021261,"county"
"Brazil","Roraima","Amajari","brazil","roraima","amajari","municipality","brazil_NA_amajari","brazil_roraima_amajari",3.731869341,-62.43634724,"county"
"Brazil","Roraima","Alto Alegre","brazil","roraima","alto alegre","municipality","brazil_NA_alto alegre","brazil_roraima_alto alegre",3.078163315,-62.75535758,"county"
"Brazil","Roraima","Boa Vista","brazil","roraima","boa vista","municipality","brazil_NA_boa vista","brazil_roraima_boa vista",3.118013279,-60.71790201,"county"
"Brazil","Roraima","Bonfim","brazil","roraima","bonfim","municipality","brazil_NA_bonfim","brazil_roraima_bonfim",2.788975157,-60.10017069,"county"
"Brazil","Roraima","Cantá","brazil","roraima","canta","municipality","brazil_NA_canta","brazil_roraima_canta",2.272877157,-60.54216369,"county"
"Brazil","Roraima","Caracaraí","brazil","roraima","caracarai","municipality","brazil_NA_caracarai","brazil_roraima_caracarai",0.991308804,-61.47087293,"county"
"Brazil","Roraima","Caroebe","brazil","roraima","caroebe","municipality","brazil_NA_caroebe","brazil_roraima_caroebe",0.914976316,-59.33832978,"county"
