"loc","loc.correct","Freq","stateProvince","municipality","locality"
"brazil_sao paulo_itirapina_itirapina","",215,"sao paulo","itirapina","itirapina"
"brazil_sao paulo_miracatu_miracatu","",214,"sao paulo","miracatu","miracatu"
"brazil_sao paulo_itirapina_cerrado","",211,"sao paulo","itirapina","cerrado"
"brazil_sao paulo_cananeia_south tip of the island of ilha comprida","",210,"sao paulo","cananeia","south tip of the island of ilha comprida"
"brazil_sao paulo_sao paulo_reserva estadual curucutu","",210,"sao paulo","sao paulo","reserva estadual do curucutu|reserva estadual de curucutu"
"brazil_sao paulo_santos_monumento nacional ruinas engenho sao jorge erasmos","",206,"sao paulo","santos","monumento nacional ruinas engenho sao jorge dos erasmos"
"brazil_sao paulo_campinas_mata fazenda recreio","",202,"sao paulo","campinas","mata da fazenda recreio"
"brazil_sao paulo_santo andre_estacao biologicado alto serra paranapiacaba","",202,"sao paulo","santo andre","estacao biologicado alto da serra de paranapiacaba"
"brazil_sao paulo_serra mantiqueira","",202,"sao paulo","serra da mantiqueira|campos do jordao|sao bento do sapucai|braganca paulista","serra da mantiqueira|serra da mantiqueira, circa 2 km e of campos do jordao on road to horto florestal|serra da mantiqueira, off estrada do fojo|serra da mantiqueira, off of a mud road to pico do imbiri|serra da mantiqueira, off of a mud road to pedra do bau|serra da mantiqueira, estrada para pico itapeva|serra da mantiqueira, ca 2km e of campos do jordao on road to horto florestal|serra da mantiqueira, estrada p|serra da mantiqueira, 20km along the road to sao paulo|serra de mantiqueira, road to pico do itapeva|serra da mantiqueira, along road in disturbed atlantic forest|serra da mantiqueira, parque estadual de campos do jordao"
"brazil_sao paulo_eldorado_parque estadual intervales, estrada sao pedro","",200,"sao paulo","eldorado","parque estadual intervales, estrada sao pedro|parque estadual intervales, estrada de sao pedro|parque estadual de intervales, estrada de sao pedro"
"brazil_sao paulo_itanhaem_ilha queimada grande","",200,"sao paulo","itanhaem","ilha da queimada grande|ilha queimada grande|ilha de queimada grande"
"brazil_sao paulo_ubatuba_praia puruba","",200,"sao paulo","ubatuba","praia de puruba|praia puruba|praia do puruba|praia da puruba"
"brazil_sao paulo_cananeia_fazenda aroeira","",199,"sao paulo","cananeia","fazenda aroeira"
"brazil_sao paulo_rio claro_horto florestal navarro andrade","",199,"sao paulo","rio claro","horto florestal navarro de andrade"
"brazil_sao paulo_sete barras_nucleo saibadela","",199,"sao paulo","sete barras","nucleo saibadela"
"brazil_sao paulo_ubatuba_km 13 rodovia rio","",199,"sao paulo","ubatuba","km 13 da rodovia rio"
"brazil_sao paulo_estacao ecologica chauas","",198,"sao paulo","iguape|iguapeeeee","estacao ecologica de chauas, no km 78 da rodovia pariquera-iguape|estacao ecologica chauas, trilha no km 78 da rodovia pariquera-iguape|estacao ecologica dos chauas, fazenda vizinha a estacao|estacao ecologica de chauas, no km 78 da rodovia pariquera iguape|estacao ecologica de chauas, acesso pela estrada de iguape-jaire|estacao ecologica dos chauas, no km 78 da rodovia pariquera-iguape|estacao ecologica de chauas, no km 78 da rodovia pariquera|estacao ecologica de chauas, km 78 da rodovia pariquera-iguape|estacao ecologica de chauas, no km 78 da rodovia pariquera-iguape, floresta de restinga preservada|estacao ecologica de chauas, no km 78 da rodovia pariquera-iguae|estacao ecologica de chauas, no km 78 da rodovia pariquera-iguarape|estacao ecologica de chauas, nno km 78 da rodovia pariquera-iguape|estacao ecologica de chauas, no km 78 da rodovia pariquera-iguape, no trecho com floresta de restinga mais preservada|estacao ecologica de chauas, no km78 da rodovia pariquera-iguape|estacao ecologica de chauas, km 78 da rodovia pariquera|estacao ecologica de chauas, restinga mais preservada|estacao ecologica dos chauas, trilha de acesso do km 78 da rodovia pariquera a iguape|estacao ecologica de chauas, no km 78 da rodovia pariquera- iguape|estacao ecologica de chauas, no km 78 da rodovia pariqueira-iguape|estacao ecologica de chauas, no km 78 da rodovia pariqueraiguape|estacao ecologica de chauas, km 78 da rodovia pariquera-acu"
"brazil_sao paulo_parque estadual jurupara","",198,"sao paulo","parque estadual de jurupara|ibiuna|miracatu","parque estadual de jurupara|parque estadual de jurupara, caminho para a fazenda tucano|parque estadual de jurupara, fazenda tucano|parque estadual do jurupara, estrada da capela azul|parque estadual de jurupara, caminho da fazenda tucano|parque estadual de jurupara, estrada da fazenda tucano|parque estadual de jurupara, caminho para a fazenda tucano, margem da estrada|parque estadual de jurupara, estrada da usina da barra|parque estadual de jurupara, estrada da usina da barra as margens da represa|parque estadual de jurupara, caminho de fazenda tucano|parque estadual de jurupara, caminho da fazenda tucano, na mergem da estrada|parque estadual de jurupara, estrada do franca|parque estadual de jurupara, na margem da estrada|parque estadual de jurupara, estrada do cacador|parque estadual do jurupara, estrada para a agua da carapuca|parque estadual de jurupara, cachoeira do franca na margem da estrada|parque estadual de jurupara, proximo a fazenda tucano|parque estadual do jurupara, caminho da fazenda tucano|parque estadual de jurupara, estrada do|parque estadual de jurupara, estrada para a agua da carapuca|parque estadual de jurupara, estrada da|parque estadual de jurupara, fazenda tu|parque estadual do jurupara, fazenda tucano|parque estadual de jurupara, estrada da usina da barra, estrada da usina da barra e|parque estadual de jurupara, estrada da cachoeira da fumaca|parque estadual do jurupara, estrada do mono|parque estadual do jurupara, estrada do mono, o parque|parque estadual de jurupara, margem da estrada|parque estadual de jurupara, estrada do mono, caminho para o parque|parque estadual de jurupara, estrada do mono, o parque|parque estadual de jurupara, estrada do morro, caminho para o parque|parque estadual do jurupara, estrada do morro, caminho para o parque|parque estadual de jurupara, estrada do morro, o parque|parque estadual de jurupara, estrada do, caminho para o parque|parque estadual de jurupara, inicio da estrada do morro, caminho para o parque|parque estadual do jurupara, estrada do mono, caminho para o parque"
"brazil_sao paulo_sao pedro_cachoeira peroba","",198,"sao paulo","sao pedro","cachoeira da peroba"
"brazil_sao paulo_cunha_estacao experimental serra mar","",195,"sao paulo","cunha","estacao experimental da serra do mar"
"brazil_sao paulo_sao bernardo campo_ibb","",195,"sao paulo","sao bernardo do campo","ibb"
"brazil_sao paulo_subauma","",195,"sao paulo","subauma|iguape|sao paulo|subauma (iguape)","beira da estrada subauma-iguape|beira da estrada subauma- iguape, mata atlantica, beira de estrada|beira de estrada subauma, mata atlantica|estrada subauma-iguape|beira da estrada subauma- iguape|beira da estrada subauma|beira de estrada subauma-iguape|estrada subauma, beira da estrada, mata atlantica|estrada subauma|estrada subauma-iguape, beira da estrada|beira de estrada subauma-iguape proximo a subauma|beira da estrada subauma, mata atlantica|estrada subauma, beira de estrada, mata atlantica|beira de estrada subauma|beira da estrasa subauma-iguape||beira da estrad subauma-iguape|estrada paralela a sp 222|beira da estrada para iguape|estrada paralela a sp"
"brazil_sao paulo_itirapina_cerrado itirapina","",194,"sao paulo","itirapina","cerrado de itirapina"
"brazil_sao paulo_botucatu_fazenda mac","",192,"sao paulo","botucatu","fazenda mac"
"brazil_sao paulo_campinas_distrito souzas","",192,"sao paulo","campinas","distrito de souzas"
"brazil_sao paulo_iguape_estacao ecologicachauas","",192,"sao paulo","iguape","estacao ecologicachauas"
"brazil_sao paulo_silveiras_serra bocaina","",191,"sao paulo","silveiras","serra da bocaina"
"brazil_sao paulo_tapirai_uhe alecrim","",189,"sao paulo","tapirai","uhe alecrim"
"brazil_sao paulo_campos jordao_floresta ombrofila mista","",187,"sao paulo","campos do jordao","floresta ombrofila mista"
"brazil_sao paulo_cunha_trilha pedreira","",186,"sao paulo","cunha","trilha da pedreira"
"brazil_sao paulo_iguape_estacao ecologica chauas","",184,"sao paulo","iguape","estacao ecologica de chauas|estacao ecologica dos chauas|estacao ecologica chauas"
"brazil_sao paulo_serra japi","",184,"sao paulo","serra do japi|cabreuva|sao paulo|jundiai","|serra do japi|serra do japi, on the road from the main entrance into the reserve|serra do japi, on tbe road from the main entrance into the reserve|serra do japi, on road from the main entrance into the reserve|serra do japi, na estrada para a torre da tv cultura|serra do japi, estrada para a torre da tv cultura|serra do japi, na trilha a esquerda antes de chegar na base da reserva|serra do japi, estrada do dae|serra do japi, on the road from the entrance into the reserve|serra do japi, on the road from the main entrace into the reserve|serra do japi, estrada a direita|serra do japi, on the road from the main entance into the reserve|serra do japi, on the from the main entrence into the reserve|estado de sao paulo"
"brazil_sao paulo_iguape_morro pedras","",183,"sao paulo","iguape","morro das pedras|morro da pedras|morro dos pedras"
"brazil_sao paulo_ibiuna_8km estrada sp 250 no km 63","",182,"sao paulo","ibiuna","8km da estrada sp 250 no km 63"
"brazil_sao paulo_pindamonhangaba_serra mantiqueira","",182,"sao paulo","pindamonhangaba","serra da mantiqueira|serra de mantiqueira"
"brazil_sao paulo_sete barras_3 km base nucleo sete barras","",182,"sao paulo","sete barras","3 km da base do nucleo sete barras"
"brazil_sao paulo_itirapina_estrada entre itirapina e sao carlos","",179,"sao paulo","itirapina","estrada entre itirapina e sao carlos"
"brazil_sao paulo_cruzeiro_estrada fazenda boa vista","",178,"sao paulo","cruzeiro","estrada da fazenda boa vista|estrada fazenda boa vista"
"brazil_sao paulo_reginopolis_fazenda planalto","",177,"sao paulo","reginopolis","fazenda planalto"
"brazil_sao paulo_ubatuba_agriculture experiment station","",177,"sao paulo","ubatuba","agriculture experiment station"
"brazil_sao paulo_campinas_ribeirao cachoeira","",176,"sao paulo","campinas","ribeirao cachoeira"
"brazil_sao paulo_fazenda bacury","",174,"sao paulo","anhembi","fazenda bacury, antes parte da fazenda barreiro rico|fazenda bacury, ao longo de estrada de terra|fazenda bacury, antes parte da fazenda barreito rico|fazenda bacury, antes parte da fazenda barreito rico, ao longo de estrada de terra que corta o maior fragmento de mata da propriedade|fazenda bacury, antes parte da fazenda barreto rico"
"brazil_sao paulo_itirapina_fragmento ao lado rodovia","",173,"sao paulo","itirapina","fragmento ao lado da rodovia"
"brazil_sao paulo_bauru_area posseiros","",171,"sao paulo","bauru","area dos posseiros"
"brazil_sao paulo_tiete_estacao experimental iac","",170,"sao paulo","tiete","estacao experimental do iac"
"brazil_sao paulo_aguas santa barbara_estacao ecologica santa b arbara","",168,"sao paulo","aguas de santa barbara","estacao ecologica de santa b arbara"
"brazil_sao paulo_area invasao proximo a um plantio pinus","",168,"sao paulo","aguas de santa barbara","estacao ecologica de santa b arbara"
"brazil_sao paulo_guapiara_parque estadual intervales","",168,"sao paulo","guapiara","parque estadual intervales"
"brazil_sao paulo_juquitiba_estrada palestina","",168,"sao paulo","juquitiba","estrada da palestina"
"brazil_sao paulo_sao jose campos_area protecao ambiental","",168,"sao paulo","sao jose dos campos","area de protecao ambiental"
"brazil_sao paulo_corumbatai_reserva cerrado corumbatai","",167,"sao paulo","corumbatai","reserva de cerrado de corumbatai|reserva do cerrado de corumbatai|reserva cerrado de corumbatai"
"brazil_sao paulo_km 31 rodovia sp 226","",167,"sao paulo","cananeia","km 31 da rodovia sp-226, estrada de terra para o mar de dentro|km 31 da rodovia sp-226, fazenda folha larga|km 31 da rodovia sp-226, estrada da terra para o mar de dentro|km 31 da rodovia sp-226, estrada da terra parao mar de dentro|km 31 da rodovia sp-226, estrada de terra para o mar dedentro|km 31 da rodovia sp-226, estrada para o mar de dentro|km 31 da rodovia sp- 226, estrada de terra para o mar de dentro|km 31 da rodovia sp- 226, fazenda folha larga|km 31 da rodovia sp-226, estrada da serra para p mar de dentro|km 31 da rodovia sp-226, estrada de terra para o mar de dentro, na beira da estrada perto da casa do senhor valdemar|km 31 da rodovia sp-226, estrada de terra para o m"
"brazil_sao paulo_monte alegre","",167,"sao paulo","monte alegre|amparo","monte alegre|fazenda ponte alta|fazenda santa izabel|fazenda n|estrada para socorro|fazenda santa isabel|beira da estrada para a estacao experimental|corrego nos pastos da fazenda n|fazenda santa maria|beira da estrada para socorro|fazenda sta|fazenda izabel|fazenda nossa senhora da encarnacao|pastos da fazenda nossa senhora encarnacao|beira da estrada|margem da estrada para socorro|pastos da fazenda n|estrada para a estacao experimental|proximo a estrada de ferro|capoeiras a beira da estrada|mata da fazenda santa maria|mata da fazenda santa izabel|proximo da estrada|mata virgem da fazenda santa isabel|subosque da mata fazenda ponte alta|fazenda do coli|nos pastos da fazenda n|pastos da fazenda santa isabel|mata da fazenda santa isabel|proximidades da fazenda santa izabel|beira da estrada para estacao experimental|beira de estrada para socorro"
"brazil_sao paulo_sao sebastiao_sao sebastiao","",167,"sao paulo","sao sebastiao","sao sebastiao"
"brazil_sao paulo_juquia_reserva votorantim","",166,"sao paulo","juquia","reserva votorantim"
"brazil_sao paulo_aguas santa barbara_estacao ecologica aguas santa barbara","",165,"sao paulo","aguas de santa barbara","estacao ecologica aguas de santa barbara|estacao ecologica de aguas de santa barbara"
"brazil_sao paulo_monte alegre sul_amparo","",165,"sao paulo","monte alegre do sul","amparo"
"brazil_sao paulo_tapirai_uhe barra","",165,"sao paulo","tapirai","uhe barra|uhe da barra"
